,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sl No,ASIN,Product Title,Material Code,Sellable On Hand Units,Weeks On Hand,Sell-out last week,12 weeks sell-out,Forecast next week,26 weeks forecast,"PAN Havells WH stock in Hands 
(Total)","PAN Havells WH stock in Hands 
(Trade)","PAN Havells WH stock in Hands 
(Non trade)",Plant / CWH,"Delhi - Havells WH stock in Hands 
(Total)","Mumbai - Havells WH stock in Hands 
(Total)","Bangalore - Havells WH stock in Hands 
(Total)","Hyd- Havells WH stock in Hands 
(Total)","Chennai - Havells WH stock in Hands 
(Total)","Calcutta - Havells WH stock in Hands 
(Total)",Open Purchase Order Quantity,Pending PO Qty,Production Plan,Production MTD,Rep OOS,Replenishment Action,Unsellable On Hand Units,Aged 90+ Days Sellable Units,Unhealthy Units,Replenishment Category
Source,AMZ - Inv report,AMZ - Inv report,Havells SAP,AMZ - Inv report,AMZ - Forecast report,AMZ - Forecast report,AMZ - Forecast report,AMZ - Forecast report,AMZ - Forecast report,Havells SAP,Havells SAP,Havells SAP,Havells SAP,Havells SAP,Havells SAP,Havells SAP,Havells SAP,Havells SAP,Havells SAP,AMZ - Forecast report,Havells SAP,Havells SAP,Havells SAP,AMZ - Forecast report,OUTPUT,AMZ - Inv report,AMZ - Inv report,AMZ - Inv report,AMZ - Inv report
,B074DHDXLR,Havells Enticer 1200mm Ceiling Fan (Pearl White/Chrome),FHCENSTPWH48,215,11,6,,19.3,,7014,,,,,,,,,,0,,,,0.00%,Trigger stock movement to CT WH,17,1,0,
,B07M6L89ZM,Havells Plush 1600-Watt Steam Iron (Black),GHGSIBCK160,210,11,32,,19.141,,8026,,,,,,,,,,0,,,,0.99%,Trigger stock movement to CT WH,12,0,0,
,B00B4BBGT8,Havells Orion 1200mm Ceiling Fan (Antique Copper),FHCORSTACU48,203,42,19,,4.203,,1778,,,,,,,,,,1,,,,0.99%,Trigger stock movement to CT WH,3,0,0,
,B00B4BC3NG,Havells Ciera 300mm Cabin Fan (Ivory),FHPCISTIVR12,202,8,29,,24.82,,2798,,,,,,,,,,278,,,,0.00%,Trigger stock movement to CT WH,13,0,0,
,B07BH44M5K,Havells DHMNCSPA016 PVC Plastic 16A SP C Mini MCB (White),DHMNCSPA016,201,6,30,,40.742,,14890,,,,,,,,,,180,,,,0.00%,Trigger stock movement to CT WH,2,196,0,
,B075H3KWDL,Havells Quatro 10 Litre Vertical Storage Water Heater (White Green),GHWEQTTWG010,200,52,4,,5.615,,9,,,,,,,,,,0,,,,0.00%,Trigger stock movement to CT WH,1,111,24,
,B07L8N16J9,Havells Hi-Flow MP1-1.0HP 1PH Centrifugal Pump (Grey),MHPAMB1X00,192,5,32,,49.886,,4419,,,,,,,,,,69,,,,0.00%,Trigger stock movement to CT WH,2,31,0,
,B079ZW2H1L,havells 1250 mm stealth air decorative ceiling fan pearl white (dust resistant),FHCSYSTPWT48,191,3,154,,68.849,,10694.92,,,,,,,,,,90,,,,21.61%,Trigger stock movement to CT WH,5,0,0,
,B07LDPLSZC,Havells Glydo 1000 Watt Dry Iron (Charcoal Blue),GHGDIBAB100,188,2,351,,122.807,,6240,,,,,,,,,,0,,,,0.00%,Trigger stock movement to CT WH,8,1,0,
,B00B4BC8YA,Havells Ventilair DB 230mm 45-Watt Exhaust Fan,FHVVEMTDBB09,186,11,7,,20.866,,1303,,,,,,,,,,0,,,,1.35%,Trigger stock movement to CT WH,10,0,0,
